mse,psnr,ssim,L_dc_bits,L_ac_bits,L_total_bits,bpp,compression_ratio,entropy_dc,entropy_ac,entropy_bpp_est,num_dc_symbols,num_ac_symbols,image_idx,q_y,q_c
7.459111068147732,39.40393286907488,0.9911535657171909,801293,15562623,16363916,5.991896032527184,4.005409951994376,6.2266538010438754,5.135284378875909,5.956328443050497,128016,3012427,11,2,3.2
7.471439971370766,39.39676049366757,0.9948289842676409,825442,18058066,18883508,6.9144828576115485,3.470975414102083,6.423965405032331,5.5045030295677595,6.8947589811639975,128016,3271371,12,2,3.2
7.1718468052821525,39.574493566552874,0.9875383143576908,903747,17593139,18496886,6.772915348472066,3.543525758876386,7.030666445320897,5.462582596595768,6.749182353196547,128016,3209477,13,2,3.2
6.963301828482377,39.70265140530272,0.9905702478559902,665427,10938027,11603454,4.2487806699943755,5.648679436312671,5.178081859165207,5.72398975317759,4.234916034574185,128016,1904740,14,2,3.2
7.161332372515935,39.580865301522714,0.9925310607048147,748783,13311785,14060568,5.148490227784027,4.661560756293771,5.823430251750757,5.196777173887894,5.12275481259058,128016,2548655,15,2,3.2
6.479569814515373,40.01534187309641,0.9936011790914581,573023,9759490,10332513,3.7834063466676042,6.3434899138283205,4.427641975969657,5.192905060217972,3.7678545065716698,128016,1872407,16,2,3.2
6.531139296064555,39.980914143806096,0.9652511733828245,993325,27235349,28228674,10.336357125281214,2.3219011987598144,7.731918881900237,5.504244476599815,10.304759060581171,128016,4933024,17,2,3.2
7.565811353658917,39.34224852497803,0.9870271059516779,690040,15461740,16151780,5.9142192186914135,4.0580166396521005,5.3548257008897755,5.140097685382534,5.8803860482919506,128016,2990970,18,2,3.2
7.618843054774403,39.31191333501418,0.9911587213662507,836616,21400489,22237105,8.142453262678103,2.947514615773951,6.508269740490534,5.429586122618882,8.116347908818945,128016,3928964,19,2,3.2
4.584089464402887,41.518272760103756,0.9947731614940439,779180,13220401,13999581,5.126158912753094,4.681868121624497,6.044719414207222,5.3509168887665215,5.107057291052934,128016,2461932,20,2,3.2
6.662789343714848,39.89424278397983,0.9719370187714284,774225,17495491,18269716,6.689733607517811,3.587586802115588,6.019355990535614,5.205874231902153,6.655495458729602,128016,3343461,21,2,3.2
7.6546062845659915,39.29157503238955,0.9927809149013412,836583,19834519,20671102,7.569037512889014,3.170812663978921,6.500998599919712,5.451407856919993,7.546258696922356,128016,3627808,22,2,3.2
7.339794073592364,39.47396485414656,0.9852162832549549,658625,10886726,11545351,4.227505375304649,5.677106915155719,5.121298365697515,5.164547830735841,4.207384534573673,128016,2097917,23,2,3.2
7.397019464363829,39.44023599370993,0.9885865442562842,798295,12263273,13061568,4.782691226096738,5.018095224095607,6.197202692107652,5.389370877838984,4.7599505830365025,128016,2264851,24,2,3.2
7.139473044385077,39.594142026437346,0.9775604304728028,635614,9122475,9758089,3.5730722868625797,6.7169086078227,4.947670090198141,5.041613161490433,3.550506641535246,128016,1797655,25,2,3.2
7.965312685523685,39.11877531775073,0.989670307105294,894550,17895364,18789914,6.880211994985002,3.4882646083425395,6.960938725120066,5.531562782247042,6.854979326100342,128016,3223301,26,2,3.2
7.463295969839708,39.401496962112745,0.9912871638373311,857560,16106319,16963879,6.2115815845284965,3.8637502660800633,6.667609051259973,5.287461716330029,6.185483591663037,128016,3033411,27,2,3.2
5.79619454306493,40.49937407194776,0.9664357768917817,710967,11324236,12035203,4.406872114618485,5.446039589028951,5.52792834931469,4.956086179483471,4.382297422343507,128016,2272040,28,2,3.2
3.303130321600425,42.94154652197563,0.9907361612262008,469581,7417039,7886620,2.8878055282152233,8.310808939697868,3.654527068952365,4.587424397466899,2.8601670854887846,128016,1600746,29,2,3.2
6.756417776879452,39.83363864938779,0.981389523484129,774339,10133113,10907452,3.9939289815335584,6.009120370183614,6.022421253882479,4.777718834673845,3.9694960180041026,128016,2107650,30,2,3.2
7.425277528785465,39.42367670290431,0.9905975498291945,750734,14601917,15352651,5.621606015068429,4.269242621355751,5.8277530677109315,5.356489992972033,5.596132545211441,128016,2713911,31,2,3.2
6.399409668517998,40.06940447748071,0.9926676028056364,634029,10651427,11285456,4.132340879265092,5.807846133997598,4.909501206052119,5.488729847474942,4.117205392151455,128016,1934077,32,2,3.2
6.83242622015998,39.78505410199575,0.9783989212013448,752652,17003535,17756187,6.501697175548369,3.691343867914885,5.852742540740976,5.337447634884484,6.47089869328311,128016,3170585,33,2,3.2
6.851240884928447,39.77311123584101,0.9880801404226474,738657,9555277,10293934,3.769280060695538,6.367263671983908,5.727282486049615,4.446702672219955,3.7353472438458826,128016,2129236,34,2,3.2
7.201739308953568,39.556429642897456,0.9854165778815204,870396,10927798,11798194,4.320087674587551,5.555442807602588,6.770960113640503,5.254813365654027,4.301199063935167,128016,2070448,35,2,3.2
7.494625183570804,39.38330442799996,0.9769869583892463,689061,13596233,14285294,5.230777061070492,4.588228425680283,5.362129220718831,4.7837974646384644,5.181805005094734,128016,2814733,36,2,3.2
7.449482999195413,39.40954227500517,0.9911818501514175,746583,18609890,19356473,7.087666165752719,3.3861639979556193,5.800504420715546,5.542435521825045,7.06692295468551,128016,3348215,37,2,3.2
7.710386055258717,39.260042373602566,0.9879188261472797,698275,15145277,15843552,5.801356861642295,4.136963226428013,5.407850866403679,5.230775450111753,5.776853928927123,128016,2883768,38,2,3.2
6.940170076396701,39.71710247425227,0.9893480229821044,808401,10193397,11001798,4.0284752003655795,5.957589114070264,6.289800028669113,5.078410465527091,4.0125806978419325,128016,1999286,39,2,3.2
